,Unnamed: 0,time,position,velocity
0,0,0.0,0.7,0.0
1,2,0.01,0.69,1.0
2,3,0.02,0.684,0.6
3,4,0.03,0.678,0.6
4,5,0.04,0.673,0.5
5,6,0.05,0.669,0.4
6,7,0.06,0.664,0.5
7,8,0.07,0.659,0.5
8,9,0.08,0.654,0.5
9,10,0.09,0.649,0.5
10,11,0.1,0.646,0.3
11,12,0.11,0.643,0.3
12,13,0.12,0.639,0.4
13,14,0.13,0.635,0.4
14,15,0.14,0.631,0.4
15,16,0.15,0.627,0.4
16,17,0.16,0.623,0.4
17,18,0.17,0.618,0.5
18,19,0.18,0.614,0.4
19,20,0.19,0.609,0.5
20,21,0.2,0.605,0.4
21,22,0.21,0.6,0.5
22,23,0.22,0.596,0.4
23,24,0.23,0.593,0.3
24,25,0.24,0.59,0.3
25,26,0.25,0.586,0.4
26,27,0.26,0.583,0.3
27,28,0.27,0.58,0.3
28,29,0.28,0.577,0.3
29,30,0.29,0.573,0.4
30,31,0.3,0.569,0.4
31,32,0.31,0.566,0.3
32,33,0.32,0.563,0.3
33,34,0.33,0.56,0.3
34,35,0.34,0.556,0.4
35,36,0.35,0.552,0.4
36,37,0.36,0.549,0.3
37,38,0.37,0.546,0.3
38,39,0.38,0.543,0.3
39,40,0.39,0.539,0.4
40,41,0.4,0.536,0.3
41,42,0.41,0.532,0.4
42,43,0.42,0.529,0.3
43,44,0.43,0.526,0.3
44,45,0.44,0.523,0.3
45,46,0.45,0.519,0.4
46,47,0.46,0.515,0.4
47,48,0.47,0.512,0.3
48,49,0.48,0.508,0.4
49,50,0.49,0.504,0.4
50,51,0.5,0.502,0.2
51,52,0.51,0.499,0.3
52,53,0.52,0.496,0.3
53,54,0.53,0.493,0.3
54,55,0.54,0.49,0.3
55,56,0.55,0.487,0.3
56,57,0.56,0.484,0.3
57,58,0.57,0.482,0.2
58,59,0.58,0.479,0.3
59,60,0.59,0.476,0.3
60,61,0.6,0.473,0.3
61,62,0.61,0.469,0.4
62,63,0.62,0.466,0.3
63,64,0.63,0.462,0.4
64,65,0.64,0.46,0.2
65,66,0.65,0.457,0.3
66,67,0.66,0.454,0.3
67,68,0.67,0.451,0.3
68,69,0.68,0.448,0.3
69,70,0.69,0.445,0.3
70,71,0.7,0.442,0.3
71,72,0.71,0.439,0.3
72,73,0.72,0.436,0.3
73,74,0.73,0.433,0.3
74,75,0.74,0.43,0.3
75,76,0.75,0.428,0.2
76,77,0.76,0.426,0.2
77,78,0.77,0.423,0.3
78,79,0.78,0.421,0.2
79,80,0.79,0.419,0.2
80,81,0.8,0.416,0.3
81,82,0.81,0.413,0.3
82,83,0.82,0.411,0.2
83,84,0.83,0.408,0.3
84,85,0.84,0.406,0.2
85,86,0.85,0.403,0.3
86,87,0.86,0.401,0.2
87,88,0.87,0.399,0.2
88,89,0.88,0.397,0.2
89,90,0.89,0.395,0.2
90,91,0.9,0.392,0.3
91,92,0.91,0.39,0.2
92,93,0.92,0.387,0.3
93,94,0.93,0.385,0.2
94,95,0.94,0.382,0.3
95,96,0.95,0.38,0.2
96,97,0.96,0.377,0.3
97,98,0.97,0.375,0.2
98,99,0.98,0.373,0.2
99,100,0.99,0.371,0.2
100,101,1.0,0.369,0.2
101,102,1.01,0.367,0.2
102,103,1.02,0.364,0.3
103,104,1.03,0.362,0.2
104,105,1.04,0.359,0.3
105,106,1.05,0.356,0.3
106,107,1.06,0.353,0.3
107,108,1.07,0.351,0.2
108,109,1.08,0.349,0.2
109,110,1.09,0.347,0.2
110,111,1.1,0.345,0.2
111,112,1.11,0.343,0.2
112,113,1.12,0.34,0.3
113,114,1.13,0.338,0.2
114,115,1.14,0.336,0.2
115,116,1.15,0.334,0.2
116,117,1.16,0.331,0.3
117,118,1.17,0.328,0.3
118,119,1.18,0.326,0.2
119,120,1.19,0.323,0.3
120,121,1.2,0.321,0.2
121,122,1.21,0.319,0.2
122,123,1.22,0.316,0.3
123,124,1.23,0.314,0.2
124,125,1.24,0.311,0.3
125,126,1.25,0.309,0.2
126,127,1.26,0.307,0.2
127,128,1.27,0.305,0.2
128,129,1.28,0.303,0.2
129,130,1.29,0.301,0.2
130,131,1.3,0.299,0.2
131,132,1.31,0.297,0.2
132,133,1.32,0.295,0.2
133,134,1.33,0.293,0.2
134,135,1.34,0.29,0.3
135,136,1.35,0.288,0.2
136,137,1.36,0.286,0.2
137,138,1.37,0.284,0.2
138,139,1.38,0.282,0.2
139,140,1.39,0.28,0.2
140,141,1.4,0.278,0.2
141,142,1.41,0.276,0.2
142,143,1.42,0.274,0.2
143,144,1.43,0.272,0.2
144,145,1.44,0.27,0.2
145,146,1.45,0.268,0.2
146,147,1.46,0.266,0.2
147,148,1.47,0.264,0.2
148,149,1.48,0.262,0.2
149,150,1.49,0.26,0.2
150,151,1.5,0.258,0.2
151,152,1.51,0.256,0.2
152,153,1.52,0.254,0.2
153,154,1.53,0.252,0.2
154,155,1.54,0.25,0.2
155,156,1.55,0.248,0.2
156,157,1.56,0.246,0.2
157,158,1.57,0.244,0.2
158,159,1.58,0.242,0.2
159,160,1.59,0.24,0.2
160,161,1.6,0.238,0.2
161,162,1.61,0.236,0.2
162,163,1.62,0.234,0.2
163,164,1.63,0.232,0.2
164,165,1.64,0.23,0.2
165,166,1.65,0.228,0.2
166,167,1.66,0.226,0.2
167,168,1.67,0.224,0.2
168,169,1.68,0.222,0.2
169,170,1.69,0.22,0.2
170,171,1.7,0.218,0.2
171,172,1.71,0.216,0.2
172,173,1.72,0.214,0.2
173,174,1.73,0.212,0.2
174,175,1.74,0.21,0.2
175,176,1.75,0.208,0.2
176,177,1.76,0.206,0.2
177,178,1.77,0.204,0.2
178,179,1.78,0.202,0.2
179,180,1.79,0.2,0.2
180,181,1.8,0.198,0.2
181,182,1.81,0.196,0.2
182,183,1.82,0.194,0.2
183,184,1.83,0.192,0.2
184,185,1.84,0.19,0.2
185,186,1.85,0.188,0.2
186,187,1.86,0.186,0.2
187,188,1.87,0.184,0.2
188,189,1.88,0.182,0.2
189,190,1.89,0.18,0.2
190,191,1.9,0.178,0.2
191,192,1.91,0.176,0.2
192,193,1.92,0.174,0.2
193,194,1.93,0.172,0.2
194,195,1.94,0.17,0.2
195,196,1.95,0.168,0.2
196,197,1.96,0.166,0.2
197,198,1.97,0.164,0.2
198,199,1.98,0.162,0.2
199,200,1.99,0.16,0.2
200,201,2.0,0.158,0.2
201,202,2.01,0.156,0.2
202,203,2.02,0.154,0.2
203,204,2.03,0.152,0.2
204,205,2.04,0.15,0.2
205,206,2.05,0.148,0.2
206,207,2.06,0.146,0.2
207,208,2.07,0.144,0.2
208,209,2.08,0.142,0.2
209,210,2.09,0.14,0.2
210,211,2.1,0.139,0.1
211,212,2.11,0.137,0.2
212,213,2.12,0.135,0.2
213,214,2.13,0.133,0.2
214,215,2.14,0.131,0.2
215,216,2.15,0.129,0.2
216,217,2.16,0.127,0.2
217,218,2.17,0.125,0.2
218,219,2.18,0.123,0.2
219,220,2.19,0.121,0.2
220,221,2.2,0.119,0.2
221,222,2.21,0.117,0.2
222,223,2.22,0.115,0.2
223,224,2.23,0.114,0.1
224,225,2.24,0.112,0.2
225,226,2.25,0.11,0.2
226,227,2.26,0.108,0.2
227,228,2.27,0.107,0.1
228,229,2.28,0.106,0.1
229,230,2.29,0.104,0.2
230,231,2.3,0.103,0.1
231,232,2.31,0.102,0.1
232,233,2.32,0.1,0.2
233,234,2.33,0.098,0.2
234,235,2.34,0.096,0.2
235,236,2.35,0.094,0.2
236,237,2.36,0.093,0.1
237,238,2.37,0.092,0.1
238,239,2.38,0.09,0.2
239,240,2.39,0.088,0.2
240,241,2.4,0.087,0.1
241,242,2.41,0.085,0.2
242,243,2.42,0.084,0.1
243,244,2.43,0.083,0.1
244,245,2.44,0.081,0.2
245,246,2.45,0.079,0.2
246,247,2.46,0.077,0.2
247,248,2.47,0.076,0.1
248,249,2.48,0.074,0.2
249,250,2.49,0.072,0.2
250,251,2.5,0.071,0.1
251,252,2.51,0.069,0.2
252,253,2.52,0.068,0.1
253,254,2.53,0.067,0.1
254,255,2.54,0.065,0.2
255,256,2.55,0.063,0.2
256,257,2.56,0.062,0.1
