,Unnamed: 0,time,position,velocity
0,0,0.0,0.7,0.0
1,2,0.01,0.69,1.0
2,3,0.02,0.686,0.4
3,4,0.03,0.683,0.3
4,5,0.04,0.679,0.4
5,6,0.05,0.675,0.4
6,7,0.06,0.67,0.5
7,8,0.07,0.664,0.6
8,9,0.08,0.66,0.4
9,10,0.09,0.656,0.4
10,11,0.1,0.651,0.5
11,12,0.11,0.647,0.4
12,13,0.12,0.644,0.3
13,14,0.13,0.64,0.4
14,15,0.14,0.636,0.4
15,16,0.15,0.632,0.4
16,17,0.16,0.628,0.4
17,18,0.17,0.623,0.5
18,19,0.18,0.619,0.4
19,20,0.19,0.616,0.3
20,21,0.2,0.612,0.4
21,22,0.21,0.607,0.5
22,23,0.22,0.603,0.4
23,24,0.23,0.598,0.5
24,25,0.24,0.594,0.4
25,26,0.25,0.591,0.3
26,27,0.26,0.586,0.5
27,28,0.27,0.582,0.4
28,29,0.28,0.579,0.3
29,30,0.29,0.575,0.4
30,31,0.3,0.571,0.4
31,32,0.31,0.568,0.3
32,33,0.32,0.564,0.4
33,34,0.33,0.56,0.4
34,35,0.34,0.556,0.4
35,36,0.35,0.553,0.3
36,37,0.36,0.55,0.3
37,38,0.37,0.546,0.4
38,39,0.38,0.543,0.3
39,40,0.39,0.54,0.3
40,41,0.4,0.537,0.3
41,42,0.41,0.533,0.4
42,43,0.42,0.529,0.4
43,44,0.43,0.525,0.4
44,45,0.44,0.522,0.3
45,46,0.45,0.519,0.3
46,47,0.46,0.516,0.3
47,48,0.47,0.513,0.3
48,49,0.48,0.51,0.3
49,50,0.49,0.506,0.4
50,51,0.5,0.504,0.2
51,52,0.51,0.501,0.3
52,53,0.52,0.498,0.3
53,54,0.53,0.494,0.4
54,55,0.54,0.49,0.4
55,56,0.55,0.487,0.3
56,57,0.56,0.484,0.3
57,58,0.57,0.48,0.4
58,59,0.58,0.477,0.3
59,60,0.59,0.474,0.3
60,61,0.6,0.47,0.4
61,62,0.61,0.468,0.2
62,63,0.62,0.465,0.3
63,64,0.63,0.462,0.3
64,65,0.64,0.458,0.4
65,66,0.65,0.455,0.3
66,67,0.66,0.451,0.4
67,68,0.67,0.449,0.2
68,69,0.68,0.446,0.3
69,70,0.69,0.443,0.3
70,71,0.7,0.44,0.3
71,72,0.71,0.438,0.2
72,73,0.72,0.435,0.3
73,74,0.73,0.432,0.3
74,75,0.74,0.429,0.3
75,76,0.75,0.426,0.3
76,77,0.76,0.424,0.2
77,78,0.77,0.421,0.3
78,79,0.78,0.419,0.2
79,80,0.79,0.417,0.2
80,81,0.8,0.414,0.3
81,82,0.81,0.412,0.2
82,83,0.82,0.409,0.3
83,84,0.83,0.406,0.3
84,85,0.84,0.403,0.3
85,86,0.85,0.4,0.3
86,87,0.86,0.398,0.2
87,88,0.87,0.396,0.2
88,89,0.88,0.393,0.3
89,90,0.89,0.39,0.3
90,91,0.9,0.388,0.2
91,92,0.91,0.386,0.2
92,93,0.92,0.383,0.3
93,94,0.93,0.38,0.3
94,95,0.94,0.377,0.3
95,96,0.95,0.374,0.3
96,97,0.96,0.371,0.3
97,98,0.97,0.369,0.2
98,99,0.98,0.367,0.2
99,100,0.99,0.364,0.3
100,101,1.0,0.361,0.3
101,102,1.01,0.358,0.3
102,103,1.02,0.356,0.2
103,104,1.03,0.354,0.2
104,105,1.04,0.351,0.3
105,106,1.05,0.348,0.3
106,107,1.06,0.346,0.2
107,108,1.07,0.343,0.3
108,109,1.08,0.341,0.2
109,110,1.09,0.338,0.3
110,111,1.1,0.335,0.3
111,112,1.11,0.332,0.3
112,113,1.12,0.33,0.2
113,114,1.13,0.327,0.3
114,115,1.14,0.325,0.2
115,116,1.15,0.322,0.3
116,117,1.16,0.32,0.2
117,118,1.17,0.318,0.2
118,119,1.18,0.315,0.3
119,120,1.19,0.313,0.2
120,121,1.2,0.31,0.3
121,122,1.21,0.308,0.2
122,123,1.22,0.306,0.2
123,124,1.23,0.304,0.2
124,125,1.24,0.301,0.3
125,126,1.25,0.299,0.2
126,127,1.26,0.297,0.2
127,128,1.27,0.295,0.2
128,129,1.28,0.292,0.3
129,130,1.29,0.29,0.2
130,131,1.3,0.288,0.2
131,132,1.31,0.286,0.2
132,133,1.32,0.284,0.2
133,134,1.33,0.282,0.2
134,135,1.34,0.28,0.2
135,136,1.35,0.278,0.2
136,137,1.36,0.276,0.2
137,138,1.37,0.274,0.2
138,139,1.38,0.272,0.2
139,140,1.39,0.27,0.2
140,141,1.4,0.268,0.2
141,142,1.41,0.266,0.2
142,143,1.42,0.264,0.2
143,144,1.43,0.262,0.2
144,145,1.44,0.26,0.2
145,146,1.45,0.258,0.2
146,147,1.46,0.256,0.2
147,148,1.47,0.254,0.2
148,149,1.48,0.252,0.2
149,150,1.49,0.25,0.2
150,151,1.5,0.248,0.2
151,152,1.51,0.246,0.2
152,153,1.52,0.244,0.2
153,154,1.53,0.242,0.2
154,155,1.54,0.24,0.2
155,156,1.55,0.238,0.2
156,157,1.56,0.236,0.2
157,158,1.57,0.234,0.2
158,159,1.58,0.232,0.2
159,160,1.59,0.23,0.2
160,161,1.6,0.228,0.2
161,162,1.61,0.226,0.2
162,163,1.62,0.224,0.2
163,164,1.63,0.222,0.2
164,165,1.64,0.22,0.2
165,166,1.65,0.218,0.2
166,167,1.66,0.216,0.2
167,168,1.67,0.214,0.2
168,169,1.68,0.212,0.2
169,170,1.69,0.21,0.2
170,171,1.7,0.208,0.2
171,172,1.71,0.206,0.2
172,173,1.72,0.204,0.2
173,174,1.73,0.202,0.2
174,175,1.74,0.2,0.2
175,176,1.75,0.198,0.2
176,177,1.76,0.196,0.2
177,178,1.77,0.194,0.2
178,179,1.78,0.192,0.2
179,180,1.79,0.19,0.2
180,181,1.8,0.188,0.2
181,182,1.81,0.186,0.2
182,183,1.82,0.184,0.2
183,184,1.83,0.182,0.2
184,185,1.84,0.18,0.2
185,186,1.85,0.178,0.2
186,187,1.86,0.176,0.2
187,188,1.87,0.174,0.2
188,189,1.88,0.172,0.2
189,190,1.89,0.17,0.2
190,191,1.9,0.168,0.2
191,192,1.91,0.166,0.2
192,193,1.92,0.164,0.2
193,194,1.93,0.162,0.2
194,195,1.94,0.16,0.2
195,196,1.95,0.158,0.2
196,197,1.96,0.156,0.2
197,198,1.97,0.154,0.2
198,199,1.98,0.152,0.2
199,200,1.99,0.15,0.2
200,201,2.0,0.148,0.2
201,202,2.01,0.146,0.2
202,203,2.02,0.144,0.2
203,204,2.03,0.143,0.1
204,205,2.04,0.141,0.2
205,206,2.05,0.139,0.2
206,207,2.06,0.137,0.2
207,208,2.07,0.135,0.2
208,209,2.08,0.133,0.2
209,210,2.09,0.131,0.2
210,211,2.1,0.129,0.2
211,212,2.11,0.127,0.2
212,213,2.12,0.126,0.1
213,214,2.13,0.124,0.2
214,215,2.14,0.122,0.2
215,216,2.15,0.12,0.2
216,217,2.16,0.118,0.2
217,218,2.17,0.116,0.2
218,219,2.18,0.114,0.2
219,220,2.19,0.112,0.2
220,221,2.2,0.11,0.2
221,222,2.21,0.108,0.2
222,223,2.22,0.106,0.2
223,224,2.23,0.104,0.2
224,225,2.24,0.102,0.2
225,226,2.25,0.1,0.2
226,227,2.26,0.098,0.2
227,228,2.27,0.096,0.2
228,229,2.28,0.094,0.2
229,230,2.29,0.092,0.2
230,231,2.3,0.091,0.1
231,232,2.31,0.09,0.1
232,233,2.32,0.088,0.2
233,234,2.33,0.087,0.1
234,235,2.34,0.085,0.2
235,236,2.35,0.083,0.2
236,237,2.36,0.082,0.1
237,238,2.37,0.081,0.1
238,239,2.38,0.079,0.2
239,240,2.39,0.077,0.2
240,241,2.4,0.076,0.1
241,242,2.41,0.074,0.2
242,243,2.42,0.072,0.2
243,244,2.43,0.071,0.1
244,245,2.44,0.069,0.2
245,246,2.45,0.068,0.1
246,247,2.46,0.066,0.2
247,248,2.47,0.064,0.2
248,249,2.48,0.063,0.1
249,250,2.49,0.062,0.1
250,251,2.5,0.061,0.1
251,252,2.51,0.06,0.1
252,253,2.52,0.058,0.2
253,254,2.53,0.056,0.2
254,255,2.54,0.055,0.1
255,256,2.55,0.054,0.1
256,257,2.56,0.052,0.2
